date,open,high,low,prevclose,close,vwap,volume,ntrades
29-Oct-24,1176.4,1191.2,1157.6,1171.6,1186.85,1179.24,9908946,224353
28-Oct-24,1194,1194,1167.05,1189.35,1171.6,1177.69,8572243,263932
25-Oct-24,1187,1201.75,1170,1167.35,1189.35,1182.18,12798716,291497
24-Oct-24,1165,1175.2,1154.65,1160.4,1167.35,1165.52,5046700,134482
23-Oct-24,1175.1,1183.15,1158.65,1175.75,1160.4,1165.58,6501834,126462
22-Oct-24,1194.25,1198,1173.35,1190.3,1175.75,1183.75,7256246,207796
21-Oct-24,1196.85,1214.8,1185.55,1196.85,1190.3,1197.22,7456038,181753
18-Oct-24,1158,1203.85,1156.05,1131.85,1196.85,1185.61,20829666,393521
17-Oct-24,1151,1151.35,1124,1153.2,1131.85,1134.23,6595231,205556
16-Oct-24,1151,1162.95,1148.1,1153.85,1153.2,1154.48,7739854,145230
15-Oct-24,1166.1,1172,1149.5,1164.35,1153.85,1158.79,8741516,156359
14-Oct-24,1171.55,1175,1156.6,1172.45,1164.35,1166.1,9765296,184595
11-Oct-24,1182.5,1188.2,1166,1184.25,1172.45,1175.82,4754158,124062
10-Oct-24,1177,1191,1175.05,1170.15,1184.25,1183.78,6806243,158576
09-Oct-24,1154,1185,1154,1153.3,1170.15,1170.93,9807734,203169
08-Oct-24,1153,1168.35,1142.5,1145.7,1153.3,1157.61,8464570,206099
07-Oct-24,1182.95,1184.85,1130.9,1178.4,1145.7,1157.29,20047013,405533
04-Oct-24,1175.5,1202.8,1174,1175.7,1178.4,1185.15,13064515,268686
03-Oct-24,1207.5,1219.15,1173.1,1226.65,1175.7,1191,17300892,324821
01-Oct-24,1228.1,1242.95,1224.65,1232.2,1226.65,1232.05,11164280,139543
30-Sep-24,1263.5,1275,1229.35,1273.15,1232.2,1241.68,8466919,282624
27-Sep-24,1273,1281.55,1257.25,1277.1,1273.15,1271.84,13372027,273519
26-Sep-24,1267.55,1281.65,1262.25,1268.1,1277.1,1273.62,7270078,191113
25-Sep-24,1238,1271,1231.1,1239.55,1268.1,1256.08,6853324,199190
24-Sep-24,1241.1,1247.1,1235.35,1246.8,1239.55,1240.21,9225946,243688
23-Sep-24,1251.5,1252.45,1240.55,1245,1246.8,1246.62,5462814,159179
20-Sep-24,1244,1250,1229.9,1242.7,1245,1242.12,15009629,270705
19-Sep-24,1248.45,1261.7,1239,1240.45,1242.7,1246.26,8449864,201989
18-Sep-24,1231.9,1250.4,1225,1232.1,1240.45,1241.16,8210034,197803
